n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
2885545,13,5,103,431,1,0.1724309696053027,0.0183015583384906,0.0061915444856045,0.0009921922616981302,-0.0030635388993358807,2.4753687176629105e-05,1,0,17.11724276862369,100.03006831088416,67.74713994610046,67.84602368914298
3950749,37,17,571,11,1,0.2377259253847472,0.018448338990844,0.0148570549644036,0.001421674547434199,-0.004888159357224531,3.662978658277942e-05,1,0,37.16180835212409,140.84230767843906,42.78370326721242,43.56455816747112
6739513,37,29,571,11,1,0.2296510522628742,0.0184483413232958,0.0494145005938934,0.0018568261162388825,-0.00639878104241816,-2.0868489704988854e-05,1,0,37.16180835212409,140.84230800694695,42.782161041491776,43.56455816747112
8260657,37,17,571,23,1,0.2267165557811893,0.0184531891941981,0.0622797569362657,0.0016438053469584003,-0.0029711925598537004,0.0024894856177184255,13,8,32.14031735997639,140.84299079392878,42.76232434523331,43.541142315802055
3220165,13,5,463,107,1,0.1711684409037099,0.0192870678289688,0.0021428389841523,0.00042727014099618873,-0.0012931771602266429,-9.213305642602978e-06,14,11,39.74921382870358,100.12869748454844,52.743498692484266,52.82140444895823
4693585,13,5,163,443,1,0.1669703319601032,0.0192876558081365,0.0115999221549148,0.00033879350771799524,-0.0005551327730317387,0.0004495961128678296,15,9,50.12983143797713,96.33980814410272,56.55918805181461,56.64044858978638
8990065,397,5,7,647,1,0.3737243517833788,0.019418432105854,0.0685436686874502,0.005382668255123743,-0.014509322508002338,0.003638665466784187,14,11,17.435595774162696,233.6274038918872,17.527079995068046,30.820134076080013
3942445,13,5,463,131,1,0.1688876489169358,0.0210950651615997,0.0173652479779563,0.0006777215278433968,-0.0014892917978456476,0.0006487860804243609,10,12,25.059928172283332,100.3098936542574,51.10987901860762,51.18363532575402
4348045,13,5,151,443,1,0.1678056662217687,0.0215256459182535,0.0188283297371147,0.0005846014052911131,-0.0005722271141803467,0.0013818043054557455,8,13,29.0516780926679,96.124441690153,57.86746285538344,57.95148342377296
3557905,13,5,127,431,1,0.1700366823475167,0.0218256896938572,0.0113153747599377,0.00028069289361445335,-0.0008511691755566591,2.5868419423869774e-05,1,0,60.50619802962338,100.3832093032338,64.73049436168941,64.8246076851423
2252341,13,53,7,467,1,0.1753514097178219,0.0219976484722229,0.0192904901788447,0.0029429953424070622,-0.0014605862162411288,0.008193430310849603,15,9,18.788294228055936,100.4004725615159,45.14452449634763,45.2300194122891
3345121,13,29,19,467,1,0.1707346778586729,0.0220032002443853,0.0073963175303999,0.0020224588553367524,-0.0037525509800553133,0.0019568169113145235,9,10,20.223748416156685,100.40102996361183,45.11086287678669,45.18603858502301
3199417,13,17,31,467,1,0.1712423090110818,0.0221207710291663,0.0045450831338602,0.0007122854396663647,-3.7937677653813133e-06,0.0024575998058986,0,1,43.965895873961216,100.41283488544084,45.7332117811318,45.80662566843469
5203513,73,17,7,599,1,0.2774330794057704,0.0225121085206828,0.0081328916794753,0.0034157006379444644,-0.0032557728734740254,0.008525435202638418,8,13,21.72556098240043,160.63139134585634,57.93985534383137,60.2513657201236
7661485,13,5,379,311,1,0.1618089356897402,0.0229428541666402,0.0161447933283925,0.00020328418563699902,-0.0006816352488332948,-6.264252820328751e-06,1,0,83.54639429682169,95.98830982490412,42.12504903826368,42.17787950651153
7903105,349,5,7,647,1,0.3686430826751837,0.0231934406060248,0.0178510625448011,0.005046824549216453,-0.013348710430768584,0.003646980798897761,14,11,17.435595774162696,219.0599356360973,18.704251765754154,30.820134076080013
3894085,13,5,139,431,1,0.169025011379939,0.0234340309008725,0.0188912079514868,0.0002365926536367688,-0.0006090645383673179,0.00010325216453369054,2,3,71.78439941937245,100.54478965858972,65.25709191280339,65.34997411239016
