N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
209;a;209;0;0;0;-5.947076518184954;0.5235987755982988;6.416529036860962;1.0;0.0;0.0;5.3471075307174685;0.0;0.0;1.0;0.16794429105134062;0.14544402247102856;0.0839721455256703;0.0;0.0;6.416529036860962
210;c;7;1;1;1;-1.0271112342683986;4.71238898038469;6.4222297601712794;1.0;1.0;1.0;3.0794415416798357;0.29510262323238373;0.29510262323238373;0.9087512770404955;0.7348173086828587;-1.349837497554803e-16;-0.7348173086828587;1.8952168492276271;1.8952168492276271;5.836209496003126
211;b;211;0;0;0;-5.726445459095421;1.0471975511965976;6.427903529606414;1.0;0.0;0.0;5.356586274672012;0.0;0.0;1.0;0.1794365460001402;0.08971827300007011;0.1553966072034564;0.0;0.0;6.427903529606414
212;a;53;2;0;0;-3.7018331086322904;1.5707963267948966;6.43355059885131;1.0;2.0;0.0;3.9889840465642745;0.44820079476797836;0.0;0.8939329099934471;0.3293777756867116;2.0168571935250313e-17;0.3293777756867116;2.8835224915851603;0.0;5.751162608421236
213;c;71;0;1;0;-3.9696736041728604;2.6179938779914944;6.439171218026221;1.0;0.0;1.0;4.276666119016055;0.0;0.2276854690825177;0.973734731417481;0.3039469555108772;-0.26322578487535825;0.15197347775543857;0.0;1.4661057192789468;6.270044656535936
214;c;107;1;0;0;-4.501638102611422;2.0943951023931953;6.444765633753195;1.0;1.0;0.0;4.68213122712422;0.20886727632419963;0.0;0.9779439968019183;0.25911289330018716;-0.12955644665009353;0.22439834804604877;1.3461006444698342;0.0;6.3026198623242475
215;c;43;0;0;1;-3.1577087180587435;3.141592653589793;6.450334089220998;1.0;0.0;0.0;4.7841896339182615;0.0;0.0;1.0;0.3877817430989262;-0.3877817430989262;4.748956704538812e-17;0.0;0.0;6.450334089220998
216;e;1;3;3;0;1.2318246829094874;4.71238898038469;6.455876824248551;1.0;3.0;3.0;0.6931471805599453;0.6978546043380512;0.6978546043380512;0.1612386504792321;1.447079525287628;-2.6582419631327476e-16;-1.447079525287628;4.5052633668411675;4.5052633668411675;1.0409368668019872
217;e;217;0;0;0;-5.557480917939573;0.0;6.461394075346907;1.0;0.0;0.0;5.384495062789089;0.0;0.0;1.0;0.18876653814466407;0.18876653814466407;0.0;0.0;0.0;6.461394075346907
218;e;109;1;0;0;-4.5665093114749755;0.5235987755982988;6.466886075779801;1.0;1.0;0.0;4.700480365792417;0.20808729783288255;0.0;0.9781102578342633;0.25411895535073736;0.22007347091690208;0.12705947767536865;1.3456768489021125;0.0;6.325327606965788
219;e;73;0;1;0;-4.005850089457458;1.0471975511965976;6.472353055622834;1.0;0.0;1.0;4.30406509320417;0.0;0.22631051973544822;0.9740552082182361;0.3006660715728715;0.15033303578643578;0.26038445603817695;0.0;1.46476158392932;6.304429203256636
220;b;11;2;0;1;-1.314507094851313;3.665191429188092;6.477795241821303;1.0;2.0;0.0;3.4849066497880004;0.49775622018495314;0.0;0.8673169808479416;0.6741166387914047;-0.5838021343071349;-0.3370583193957022;3.2243628747010464;0.0;5.618301811687615
221;a;221;0;0;0;-5.581171136615939;0.5235987755982988;6.483212858246735;1.0;0.0;0.0;5.402677381872279;0.0;0.0;1.0;0.1874297180354798;0.1623188972428799;0.09371485901773989;0.0;0.0;6.483212858246735
222;e;37;1;1;0;-3.0339294639994128;1.5707963267948966;6.488606125752143;1.0;1.0;1.0;3.6375861597263857;0.25622474114016547;0.25622474114016547;0.9320395721509417;0.402452243360175;2.4643092582035497e-17;0.402452243360175;1.6625414249313348;1.6625414249313348;6.047637677302006
223;b;223;0;0;0;-5.50952172970931;1.0471975511965976;6.493975262226047;1.0;0.0;0.0;5.4116460518550396;0.0;0.0;1.0;0.19150209721389894;0.0957510486069495;0.16584568106523365;0.0;0.0;6.493975262226047
