n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
2273293,73,149,19,11,1,20361.957729825855,0.003585116960196358,0.07453140635690444,0.0033276278475209225,0.0072973525693,0.45600480666375776
2384545,73,5,139,47,1,20350.17841011012,0.0035871921380174763,0.07511007017370547,0.0033276278475209225,0.0072973525693,0.45600480666375776
4303405,97,5,19,467,1,31438.008488186584,0.0030854371719013164,0.0755663358432257,0.0033276278475209225,0.0072973525693,0.45600480666375776
8276569,157,17,7,443,1,43733.169230176114,0.003589952495180001,0.07587927782931297,0.0033276278475209225,0.0072973525693,0.45600480666375776
5178481,109,617,7,11,1,35344.38789568834,0.003083940803323316,0.07605143129801968,0.0033276278475209225,0.0072973525693,0.45600480666375776
5208565,109,5,19,503,1,35354.08222687977,0.0030830951656588925,0.07632567574023702,0.0033276278475209225,0.0072973525693,0.45600480666375776
2940805,73,5,7,1151,1,23681.34714544635,0.0030825949027159572,0.07648794888030254,0.0033276278475209225,0.0072973525693,0.45600480666375776
4821397,109,89,7,71,1,35385.68037873807,0.0030803420715203775,0.07721903904245765,0.0033276278475209225,0.0072973525693,0.45600480666375776
3646909,97,41,7,131,1,26973.12108102222,0.003596172638258291,0.07761043182850301,0.0033276278475209225,0.0072973525693,0.45600480666375776
5672905,109,5,7,1487,1,35400.60952534471,0.0030790430295264417,0.0776408480353638,0.0033276278475209225,0.0072973525693,0.45600480666375776
155701,13,29,7,59,1,4223.486160645637,0.003078025949542288,0.0779712260112683,0.0033276278475209225,0.0072973525693,0.45600480666375776
9674269,181,113,43,11,1,50297.48997338177,0.003598589116391058,0.07828216448791174,0.0033276278475209225,0.0072973525693,0.45600480666375776
8468737,157,17,19,167,1,51029.02627564391,0.003076680302538634,0.07840850017837935,0.0033276278475209225,0.0072973525693,0.45600480666375776
9056545,157,5,139,83,1,51162.770204400564,0.0030686375927802337,0.08102600979703786,0.0033276278475209225,0.0072973525693,0.45600480666375776
