A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
5·53,7·103,3,0.0003532736693358455,0.026966556759302873,0.01460197833254828,0.8971686152979294
17·41,19·31,1,0.00011775788977861517,0.00706547338671691,0.018605746585021198,0.8957805907172995
5·101,19·43,1,0.00011775788977861517,0.011069241639189827,0.011893546867640131,0.8944596587318306
5·101,19·19,3,0.0003532736693358455,0.011069241639189827,0.03579839849269901,0.8915173572228444
5·53,19·79,1,0.00011775788977861517,0.026966556759302873,0.004945831370701837,0.8829278436265338
5·137,19·31,1,0.00011775788977861517,0.007183231276495525,0.018605746585021198,0.8810956630006226
5·41,7·127,3,0.0003532736693358455,0.0380357983984927,0.010598210080075365,0.8763673890608875
5·89,7·79,2,0.00023551577955723034,0.013306641544983514,0.020372114931700425,0.8687912425187989
17·29,19·43,1,0.00011775788977861517,0.011422515308525671,0.011893546867640131,0.8667959579463101
5·149,7·43,2,0.00023551577955723034,0.006123410268487989,0.04439472444653792,0.8663538053458477
17·29,19·19,3,0.0003532736693358455,0.011422515308525671,0.03579839849269901,0.8639446554530658
5·53,7·211,1,0.00011775788977861517,0.026966556759302873,0.005063589260480453,0.8623946379608003
17·17,7·199,1,0.00011775788977861517,0.024258125294394726,0.005652378709373528,0.8588187702265372
5·53,7·79,4,0.0004710315591144607,0.026966556759302873,0.020372114931700425,0.8574096978569806
5·113,7·103,1,0.00011775788977861517,0.009420631182289214,0.01460197833254828,0.8560483870967742
29·29,7·67,1,0.00011775788977861517,0.0054168629298162975,0.025435704192180875,0.8546698872785831
5·41,7·103,4,0.0004710315591144607,0.0380357983984927,0.01460197833254828,0.8480974732847298
5·149,7·31,3,0.0003532736693358455,0.006123410268487989,0.06818181818181818,0.8461538461538461
5·113,7·43,3,0.0003532736693358455,0.009420631182289214,0.04439472444653792,0.8446949602122015
5·101,7·67,2,0.00023551577955723034,0.011069241639189827,0.025435704192180875,0.8364854215918045
5·89,7·127,1,0.00011775788977861517,0.013306641544983514,0.010598210080075365,0.8350049164208456
5·5,7·7,1753,0.2064295807819124,0.5693593970796044,0.4347621290626472,0.8339379367446424
5·53,7·127,2,0.00023551577955723034,0.026966556759302873,0.010598210080075365,0.8240659873847647
5·41,7·163,2,0.00023551577955723034,0.0380357983984927,0.007536504945831371,0.821594427244582
17·41,7·79,1,0.00011775788977861517,0.00706547338671691,0.020372114931700425,0.818111753371869
