Omega,P_E,P_A,P_B,P_C,P_total
3.1113578918129847,26893.1813641451,27886.107929898924,27222.24277363775,27552.447982117246,109553.98004979902
3.1236517965237076,26893.159046917164,27886.085031074337,27222.220942501048,27552.41985834264,109553.8848788352
3.135945701234431,26893.136641701985,27886.06204196695,27222.19902529144,27552.391623690943,109553.78933265131
3.1482396059451543,26893.114148499815,27886.03896257696,27222.177022009157,27552.36327816252,109553.69341124845
3.1605335106558776,26893.091567310898,27886.015792904625,27222.154932654412,27552.334821757697,109553.59711462764
3.172827415366601,26893.06889813548,27885.99253295014,27222.132757227413,27552.30625447682,109553.50044278985
3.185121320077324,26893.046140973813,27885.96918271374,27222.11049572839,27552.277576320255,109553.40339573618
3.197415224788047,26893.023295826144,27885.945742195665,27222.08814815755,27552.248787288354,109553.30597346771
3.2097091294987705,26893.00036269273,27885.922211396122,27222.06571451514,27552.21988738145,109553.20817598543
3.222003034209494,26892.977341573827,27885.89859031536,27222.04319480137,27552.19087659992,109553.11000329048
3.234296938920217,26892.95423246968,27885.874878953582,27222.020589016447,27552.16175494409,109553.01145538379
3.2465908436309405,26892.93103538056,27885.851077311036,27221.997897160614,27552.132522414347,109552.91253226656
3.2588847483416634,26892.9077503067,27885.827185387967,27221.975119234092,27552.103179011017,109552.81323393977
3.2711786530523868,26892.884377248378,27885.803203184565,27221.952255237095,27552.073724734502,109552.71356040455
3.28347255776311,26892.860916205827,27885.7791307011,27221.929305169848,27552.044159585123,109552.61351166188
3.2957664624738334,26892.837367179338,27885.75496793779,27221.9062690326,27552.01448356324,109552.51308771297
3.3080603671845568,26892.813730169128,27885.730714894875,27221.883146825556,27551.984696669242,109552.4122885588
3.32035427189528,26892.790005175513,27885.706371572585,27221.859938548972,27551.954798903487,109552.31111420057
3.332648176606003,26892.766192198695,27885.681937971152,27221.836644203035,27551.92479026633,109552.20956463921
3.3449420813167263,26892.742291238985,27885.65741409084,27221.813263788008,27551.89467075814,109552.10763987596
3.3572359860274497,26892.718302296635,27885.63279993183,27221.78979730413,27551.86444037929,109552.00533991188
3.369529890738173,26892.694225371884,27885.608095494426,27221.766244751605,27551.834099130145,109551.90266474805
3.3818237954488963,26892.670060465007,27885.58330077883,27221.742606130672,27551.803647011086,109551.7996143856
3.3941177001596197,26892.645807576286,27885.55841578529,27221.71888144158,27551.773084022476,109551.69618882565
3.4064116048703426,26892.621466705994,27885.533440514035,27221.695070684553,27551.742410164687,109551.59238806927
3.418705509581066,26892.597037854368,27885.508374965346,27221.671173859817,27551.711625438093,109551.48821211763
3.4309994142917892,26892.572521021706,27885.48321913942,27221.64719096763,27551.68072984308,109551.38366097184
3.4432933190025126,26892.54791620826,27885.457973036533,27221.62312200823,27551.649723380033,109551.27873463306
3.455587223713236,26892.523223414304,27885.43263665691,27221.59896698183,27551.618606049306,109551.17343310235
3.4678811284239592,26892.498442640135,27885.40721000081,27221.574725888677,27551.587377851283,109551.06775638089
3.480175033134682,26892.473573885993,27885.381693068466,27221.550398729014,27551.55603878637,109550.96170446984
3.4924689378454055,26892.44861715217,27885.35608586015,27221.5259855031,27551.524588854933,109550.85527737034
