n,r1,r2,r3,r4
711205,5,11,7,1
711425,5,11,1,7
712285,5,7,11,1
712621,7,1,5,11
712657,11,5,1,7
714805,5,7,1,11
715325,5,1,7,11
715715,5,7,11,1
716365,5,1,7,11
716485,5,7,11,1
717541,11,1,5,7
717805,5,11,7,1
718025,5,7,11,1
719017,1,7,5,11
719509,7,11,5,1
719845,5,7,11,1
720265,5,7,1,11
720613,5,7,11,1
720685,5,7,11,1
721021,7,5,1,11
721105,5,7,11,1
721325,5,11,7,1
721897,11,5,7,1
722449,7,1,5,11
722545,5,11,1,7
722785,5,7,11,1
722953,7,11,5,1
722995,5,7,1,11
723385,5,1,7,11
724945,5,1,7,11
727285,5,1,7,11
728065,5,1,11,7
728525,5,7,11,1
728665,5,7,1,11
729085,5,7,1,11
730093,7,1,11,5
730597,7,5,11,1
730873,11,1,7,5
731185,5,7,1,11
731305,5,1,11,7
732193,7,11,1,5
733033,7,11,5,1
733057,1,5,7,11
734305,5,11,1,7
734635,5,11,7,1
735085,5,1,7,11
735205,5,7,11,1
735301,7,5,1,11
735553,7,1,11,5
736345,5,7,11,1
736645,5,7,1,11
737665,5,7,11,1
738265,5,11,7,1
738661,7,11,5,1
738829,7,1,11,5
739381,5,11,7,1
739765,5,1,7,11
739921,7,1,11,5
740245,5,11,7,1
740845,5,7,1,11
740905,5,11,7,1
741013,7,1,5,11
741565,5,11,1,7
742045,5,7,1,11
742885,5,11,1,7
744205,5,7,11,1
744601,11,1,5,7
744625,5,7,11,1
746005,5,1,11,7
746317,11,1,5,7
746515,5,7,11,1
746845,5,11,1,7
746977,7,11,5,1
747175,5,11,1,7
747385,5,11,7,1
748165,5,11,1,7
748475,5,7,1,11
749905,5,1,11,7
751285,5,7,1,11
751465,5,11,1,7
751621,1,5,7,11
751765,5,7,11,1
752245,5,1,11,7
752395,5,7,1,11
752521,7,11,5,1
753725,5,7,11,1
753949,7,1,5,11
754285,5,7,11,1
754325,5,11,1,7
754369,7,11,1,5
754585,5,1,7,11
755293,7,11,5,1
757925,5,7,1,11
758149,7,5,11,1
